entire,campus,number,class_,seperate,major,class_name,prof,time,place
문과대학,서울,GERM371,0,전공선택,독어독문학과,독일지역학,이은희,3(3),화(1) 서관 223호 목(1) 서관 223호
문과대학,서울,GERM420,0,전공선택,독어독문학과,심화독일어,김재영,3(3),월(6) 법학관구관 207호 수(6) 법학관구관 207호
문과대학,서울,GERM430,0,전공선택,독어독문학과,독일청소년문학(외국어강의),Christoph Seifener,3(3),화(2) 서관 402호 목(2) 서관 402호
문과대학,서울,GERM431,0,전공선택,독어독문학과,시사번역,김인순,3(3),월(2) 국제관 331호 수(2) 국제관 331호
문과대학,서울,GERM442,0,전공선택,독어독문학과,독일어권법문화의이해,이정린,3(3),화(3-4) 서관 316B호 목(3-4) 서관 316B호
문과대학,서울,GERM453,0,전공선택,독어독문학과,한독문화비교(외국어강의) 강의실: SK미래관 B141호,한운석,3(3),화(6) 목(6) 
문과대학,서울,GERM461,0,전공선택,독어독문학과,통일전후의독일문화,이은희,3(3),화(3-4) 국제관 114호 목(3-4) 국제관 114호
문과대학,서울,RUSS370,0,전공선택,노어노문학과,러시아문학사I,최정현,3(3),수(2) 교양관 302호 금(2) 교양관 302호
문과대학,서울,RUSS373,1,전공필수,노어노문학과,고급러시아어I(외국어강의) (수강대상: 진행반),김진규,3(3),수(6) 서관 315호 금(6) 서관 315호
문과대학,서울,RUSS373,2,전공필수,노어노문학과,고급러시아어I(외국어강의) (수강대상: 시작반),정영주,3(3),수(6) 교육관 406A호 금(6) 교육관 406A호
문과대학,서울,RUSS377,0,전공선택,노어노문학과,러시아정치와국제관계,윤성학,3(3),화(6) 교양관 201호 목(6) 교양관 201호
문과대학,서울,RUSS381,0,전공선택,노어노문학과,러시아문화사,최진희,3(3),수(5) 교육관 506호 금(5) 교육관 506호
문과대학,서울,RUSS463,0,전공선택,노어노문학과,러시아어교과교육론,정지윤,3(3),수(6-8) 미디어관 410호
문과대학,서울,RUSS481,0,전공선택,노어노문학과,CIS 지역학,허승철,3(3),화(2) 서관 316A호 목(2) 서관 316A호
문과대학,서울,RUSS483,0,전공선택,노어노문학과,러시아어토르플I(외국어강의),안대섭,3(3),화(5) 교육관 407호 목(5) 교육관 407호
