Column1,Unnamed: 0,entire,campus,number,class_,seperate,major,class_name,prof,time,place,day1,day2,place1,place2,place1_지번,place2_지번
1806,1806,문과대학,서울,HOEW411,0,전공선택,사학과,중세교회와세속문화,홍용진,3(3),화(2) 교육관 201호 목(2) 교육관 201호,화(2),목(2),운초우선교육관,운초우선교육관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1807,1807,문과대학,서울,HOEW417,0,전공선택,사학과,서양의자본주의와제국주의,민경현,3(3),수(1) 법학관구관 B104호 금(1) 법학관구관 B104호,수(1),금(1),법학관구관,법학관구관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1808,1808,문과대학,서울,HOEW421,0,전공선택,사학과,중국사특강Ⅰ,권인용,3(3),화(2) 교육관 307호 목(2) 교육관 307호,화(2),목(2),운초우선교육관,운초우선교육관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1809,1809,문과대학,서울,HOEW431,0,전공선택,사학과,서양사특강Ⅰ(영강),LEBEDEV SERGEI,3(3),월(6) 사대신관 124호 수(6) 사대신관 124호,월(6),수(6),사범대학신관,사범대학신관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1810,1810,문과대학,서울,HOEW451,0,전공선택,사학과,중국사학사,박시현,3(3),화(2) 사대신관 402호 목(2) 사대신관 402호,화(2),목(2),사범대학신관,사범대학신관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1811,1811,문과대학,서울,HOEW457,0,전공선택,사학과,내륙아시아와중화세계,권용철,3(3),월(3-4) 법학관신관 209호 수(3-4) 법학관신관 209호,월(3-4),수(3-4),법학관신관,법학관신관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1812,1812,문과대학,서울,FRAN347,0,전공선택,불어불문학과,프랑스어권문학,김보현,3(3),화(1) 서관 224B호 목(1) 서관 224B호,화(1),목(1),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1813,1813,문과대학,서울,FRAN349,0,전공선택,불어불문학과,번역의이해,박선희,3(3),화(3-4) 서관 224A호 목(3-4) 서관 224A호,화(3-4),목(3-4),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1814,1814,문과대학,서울,FRAN351,0,전공선택,불어불문학과,프랑스시의이해,김준현,3(3),화(6) 서관 224A호 목(6) 서관 224A호,화(6),목(6),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1815,1815,문과대학,서울,FRAN359,0,전공선택,불어불문학과,프랑스문화산업,조주은,3(3),월(6) 법학도서관 B101호 수(6) 법학도서관 B101호,월(6),수(6),법학도서관,법학도서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1816,1816,문과대학,서울,FRAN427,0,전공선택,불어불문학과,프랑스어교과교육론(외국어강의),Simon Kim,3(3),월(2) 교육관 406호 수(2) 교육관 406호,월(2),수(2),운초우선교육관,운초우선교육관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1817,1817,문과대학,서울,FRAN433,0,전공선택,불어불문학과,실용텍스트번역(외국어강의),Jeanmaire Guillaume,3(3),화(1) 서관 314B호 목(1) 서관 314B호,화(1),목(1),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1818,1818,문과대학,서울,FRAN435,0,전공선택,불어불문학과,프랑스문학과비평의흐름,조재룡,3(3),월(2) 서관 224A호 수(2) 서관 224A호,월(2),수(2),서관,서관,서울 성북구 안암동5가 1-2,서울 성북구 안암동5가 1-2
1819,1819,1학년세미나,서울,GEKS005,DI,교양,교양교육원,1학년세미나Ⅰ,권혁준,1(1),미정,미정,,미정,미정,미정,미정
1820,1820,1학년세미나,서울,GEKS005,DJ,교양,교양교육원,1학년세미나Ⅰ,조동매,1(1),미정,미정,,미정,미정,미정,미정
1821,1821,1학년세미나,서울,GEKS005,DK,교양,교양교육원,1학년세미나Ⅰ,고점복,1(1),미정,미정,,미정,미정,미정,미정
1822,1822,1학년세미나,서울,GEKS005,DL,교양,교양교육원,1학년세미나Ⅰ,김준연,1(1),미정,미정,,미정,미정,미정,미정
1823,1823,1학년세미나,서울,GEKS005,DM,교양,교양교육원,1학년세미나Ⅰ,김진규,1(1),미정,미정,,미정,미정,미정,미정
1824,1824,1학년세미나,서울,GEKS005,DN,교양,교양교육원,1학년세미나Ⅰ,이명현,1(1),미정,미정,,미정,미정,미정,미정
1825,1825,1학년세미나,서울,GEKS005,DO,교양,교양교육원,1학년세미나Ⅰ,최정현,1(1),미정,미정,,미정,미정,미정,미정
1826,1826,1학년세미나,서울,GEKS005,DP,교양,교양교육원,1학년세미나Ⅰ,김충영,1(1),미정,미정,,미정,미정,미정,미정
1827,1827,1학년세미나,서울,GEKS005,DQ,교양,교양교육원,1학년세미나Ⅰ,정병호,1(1),미정,미정,,미정,미정,미정,미정
1828,1828,선택교양,서울,HOKA119,6,교양,한국사학과,미래를생각하는한국사,최희준,3(3),월(6) 사대신관 124A호 수(6) 사대신관 124A호,월(6),수(6),사범대학신관,사범대학신관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1829,1829,선택교양,서울,HOKA119,7,교양,한국사학과,미래를생각하는한국사,장정수,3(3),월(6) 교육관 308호 수(6) 교육관 308호,월(6),수(6),운초우선교육관,운초우선교육관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
1830,1830,선택교양,서울,HOKA119,8,교양,한국사학과,미래를생각하는한국사,김재웅,3(3),화(3-4) 교육관 309호 목(3-4) 교육관 309호,화(3-4),목(3-4),운초우선교육관,운초우선교육관,서울 성북구 종암동 29-26,서울 성북구 종암동 29-26
