entire,campus,number,class_,seperate,major,class_name,prof,time,place
1학년세미나,서울,GEKS005,BR,교양,교양교육원,1학년세미나Ⅰ 경영학과,조경아,1(1),미정
전공관련교양,서울,CHEM153,52,교양,이과대학,일반화학실험Ⅰ(영강) 외국인반(영강),김형석,1(3),월(2-4) 이학관별관607
전공관련교양,서울,CHEM155,01,교양,이과대학,일반화학실험 기계공학부 '20학번,최진주,1(3),목(5-6) 이학관별관 302호
전공관련교양,서울,CHEM155,02,교양,이과대학,일반화학실험 기계공학부 '20학번,전민아,1(3),목(5-6) 이학관별관 305호
전공관련교양,서울,CHEM155,03,교양,이과대학,일반화학실험 기계공학부 '20학번,조수진,1(3),목(5-6) 이학관별관 307호
전공관련교양,서울,CHEM155,04,교양,이과대학,일반화학실험 기계공학부 '20학번,이주용,1(3),목(5-6) 이학관별관 309호
전공관련교양,서울,CHEM155,05,교양,이과대학,일반화학실험 기계공학부 '20학번,박은준,1(3),목(5-6) 이학관별관605
전공관련교양,서울,CHEM155,06,교양,이과대학,일반화학실험 기계공학부 '20학번,곽성덕,1(3),수(2-4) 이학관별관 305호
전공관련교양,서울,CHEM155,07,교양,이과대학,일반화학실험 기계공학부 '20학번,최진주,1(3),수(2-4) 이학관별관 307호
전공관련교양,서울,CHEM155,08,교양,이과대학,일반화학실험 기계공학부 '20학번,강서현,1(3),수(2-4) 이학관별관 309호
전공관련교양,서울,CHEM155,10,교양,이과대학,일반화학실험 산업경영공학부 '20학번,최동선,1(3),월(7-9) 이학관별관605
자유정의진리,서울,GELI001,6I,교양,교양교육원,자유정의진리Ⅰ  ,우준희,3(3),화(3-4)  목(3-4)
자유정의진리,서울,GELI001,6J,교양,교양교육원,자유정의진리Ⅰ  ,남유민,3(3),화(5) 교양관 209호 목(5) 교양관 209호
자유정의진리,서울,GELI001,6K,교양,교양교육원,자유정의진리Ⅰ  ,안웅선,3(3),화(6)  목(6)
자유정의진리,서울,GELI001,6L,교양,교양교육원,자유정의진리Ⅰ  ,안웅선,3(3),화(7-8)  목(7-8)
