id,college,campus,code,class_num,seperate,major,class_name,prof,grade,day_place,day_1,place_1,day_2,place_2
924,전공관련교양,서울,CHEM155,3,교양,이과대학,일반화학실험 기계공학부 20학번,조수진,1(3),목(5-6) 이학관별관 307호,목(5-6),이학관별관,,
925,전공관련교양,서울,CHEM155,4,교양,이과대학,일반화학실험 기계공학부 20학번,이주용,1(3),목(5-6) 이학관별관 309호,목(5-6),이학관별관,,
926,전공관련교양,서울,CHEM155,5,교양,이과대학,일반화학실험 기계공학부 20학번,박은준,1(3),목(5-6) 이학관별관605,목(5-6),이학관별관,,
927,전공관련교양,서울,CHEM155,6,교양,이과대학,일반화학실험 기계공학부 20학번,곽성덕,1(3),수(2-4) 이학관별관 305호,수(2-4),이학관별관,,
928,전공관련교양,서울,CHEM155,7,교양,이과대학,일반화학실험 기계공학부 20학번,최진주,1(3),수(2-4) 이학관별관 307호,수(2-4),이학관별관,,
929,전공관련교양,서울,CHEM155,8,교양,이과대학,일반화학실험 기계공학부 20학번,강서현,1(3),수(2-4) 이학관별관 309호,수(2-4),이학관별관,,
930,전공관련교양,서울,CHEM155,10,교양,이과대학,일반화학실험 산업경영공학부 20학번,최동선,1(3),월(7-9) 이학관별관605,월(7-9),이학관별관,,
931,전공관련교양,서울,CHEM155,11,교양,이과대학,일반화학실험 산업경영공학부 20학번,변서은,1(3),월(7-9) 이학관별관607,월(7-9),이학관별관,,
932,선택교양,서울,KORE117,0,교양,국어국문학과,비교문학의이해,전성희,3(3),월(1) 교양관 411호 수(1) 교양관 411호,월(1),교양관,수(1),교양관
933,선택교양,서울,KORE119,0,교양,국어국문학과,한국문학과세계문학,박헌호,3(3),월(5) 교양관 202호 수(5) 교양관 202호,월(5),교양관,수(5),교양관
934,선택교양,서울,KORE128,0,교양,국어국문학과,한국근대문학과영화 ※수업시간 변경:금 56→금 678,송효정,3(3),금(6-8) 교양관 411호,금(6-8),교양관,,
935,선택교양,서울,KORE129,0,교양,국어국문학과,한국민요와대중가요,박인혜,3(3),월(5) 교육관 204호 수(5) 교육관 204호,월(5),운초우선교육관,수(5),운초우선교육관
936,선택교양,서울,KORE134,0,교양,국어국문학과,아동청소년문학의이해,장수경,3(3),금(2-4) 교양관 303호,금(2-4),교양관,,
937,선택교양,서울,KORE137,1,교양,국어국문학과,학업한국어말하기 (외국인만 수강),이주미,2(3),수(3-4) 교양관 201호 금(3-4) 교양관 201호,수(3-4),교양관,금(3-4),교양관
938,선택교양,서울,KORE137,2,교양,국어국문학과,학업한국어말하기 (외국인만 수강),손다정,2(3),화(2) 법학관신관 208호 목(2) 법학관신관 208호,화(2),법학관신관,목(2),법학관신관
939,선택교양,서울,KORE138,1,교양,국어국문학과,"학업한국어강독 (외국인만 수강)
※수업시간 변경:화목 34→화목1",이승연,2(3),화(1) 법학관신관 204호 목(1) 법학관신관 204호,화(1),법학관신관,목(1),법학관신관
940,생명과학대학,서울,LESE207,0,전공선택,식품자원경제학과,응용계량경제학(영강) [타과제한(식품자원경제학과 소속 학생(이중/복수/융합/부전공생 포함)만 수강 가능)],서병선,3(3),월(2) 생명과학관(동관)102호 수(2) 생명과학관(동관)102호,월(2),생명과학관동관,수(2),생명과학관동관
941,생명과학대학,서울,LESE209,0,전공선택,식품자원경제학과,미시경제분석,최동걸,3(3),금(1-2) 생명과학관(동관)101호,금(1-2),생명과학관동관,,
942,생명과학대학,서울,LESE218,0,전공선택,식품자원경제학과,식품산업조직론(영강)  ,한두봉,3(3),화(2) 생명과학관(동관)102호 목(2) 생명과학관(동관)102호,화(2),생명과학관동관,목(2),생명과학관동관
943,생명과학대학,서울,LESE304,0,전공선택,식품자원경제학과,자원환경정책,이나영,3(3),월(6) 생명과학관(동관)102호 수(6) 생명과학관(동관)102호,월(6),생명과학관동관,수(6),생명과학관동관
944,생명과학대학,서울,LESE313,0,전공선택,식품자원경제학과,불확실성과경제행위(영강) [타과제한(식품자원경제학과 소속 학생(이중/복수/부전공생 포함)만 수강 가능)],서동희,3(3),월(7-8) 생명과학관(동관)101호 수(7-8) 생명과학관(동관)101호,월(7-8),생명과학관동관,수(7-8),생명과학관동관
945,생명과학대학,서울,LESE314,0,전공선택,식품자원경제학과,국제농산물무역론(영강),임송수,3(3),월(3-4) 생명과학관(동관)102호 수(3-4) 생명과학관(동관)102호,월(3-4),생명과학관동관,수(3-4),생명과학관동관
946,생명과학대학,서울,LESE319,0,전공선택,식품자원경제학과,응용재무경제학 [타과제한(식품자원경제학과 소속 학생(이중/복수/부전공생 포함)만 수강 가능)],고영술,3(3),화(7-9) 생명과학관(동관)101호,화(7-9),생명과학관동관,,
947,생명과학대학,서울,LESE407,0,전공선택,식품자원경제학과,부동산경제론,이나영,3(3),금(3-5) 생명과학관(동관)101호,금(3-5),생명과학관동관,,
948,생명과학대학,서울,LIFS221,0,전공선택,식품공학과,식품물리화학(영강),김경헌,3(3),월(2) 생명과학관(동관)108호 수(2) 생명과학관(동관)108호,월(2),생명과학관동관,수(2),생명과학관동관
949,생명과학대학,서울,LIFS223,0,전공선택,식품공학과,식품화학I(영강),이광원,3(3),월(1) 생명과학관(동관)102호 수(1) 생명과학관(동관)102호,월(1),생명과학관동관,수(1),생명과학관동관
950,생명과학대학,서울,LIFS323,0,전공선택,식품공학과,식품분석학,조동화,3(3),화(5) 생명과학관(동관)108호 목(5) 생명과학관(동관)108호,화(5),생명과학관동관,목(5),생명과학관동관
951,생명과학대학,서울,LIFS325,0,전공선택,식품공학과,식품위생학,이민석,3(3),금(1-2) 생명과학관(동관)108호,금(1-2),생명과학관동관,,
952,생명과학대학,서울,LIFS329,0,전공선택,식품공학과,식품생화학I(영강),이성준,3(3),화(2) 생명과학관(동관)108호 목(2) 생명과학관(동관)108호,화(2),생명과학관동관,목(2),생명과학관동관
953,생명과학대학,서울,LIFS331,0,전공선택,식품공학과,유가공학,김세헌,3(3),화(1) 생명과학관(서관)301호 목(1) 생명과학관(서관)301호,화(1),생명과학관서관,목(1),생명과학관서관
954,생명과학대학,서울,LIFS337,0,전공선택,식품공학과,식품공학I,박현진,3(3),화(6) 생명과학관(서관) 437호 목(6) 생명과학관(서관) 437호,화(6),생명과학관서관,목(6),생명과학관서관
955,생명과학대학,서울,LIBS213,2,전공필수,생명과학부,생명과학실험II(계통분류학),한경덕,2(4),금(5-7) 하나과학관 110호,금(5-7),하나과학관,,
956,생명과학대학,서울,LIBS215,0,전공선택,생명과학부,식물계통분류학,김기중,3(3),화(6) 하나과학관 지하 132호 목(6) 하나과학관 지하 132호,화(6),하나과학관,목(6),하나과학관
957,생명과학대학,서울,LIBS311,0,전공선택,생명과학부,인체분자유전학,강성만,3(3),화(5) 하나과학관 지하 105호 목(5) 하나과학관 지하 105호,화(5),하나과학관,목(5),하나과학관
